,,Team,,CONF,KPI_rk,Record,Conf_Record,Home_record,Away_record,Best,Worst,,,KPI_sos,KPI_sos_rk
,,UC-Riverside,,Big West,0.069,22 - 12,14 - 6,9 - 4,13 - 8,0.61 @ UC-Santa Barbara,-0.53 @ Cal State-Bakersfield,,,-0.032,177
,,Butler,,Big East,0.068,14 - 18,6 - 14,10 - 6,4 - 12,0.73 (H) Kansas State,-0.65 (H) Georgetown,,,0.118,52
,,Davidson,,Atlantic 10,0.068,16 - 16,8 - 10,7 - 8,9 - 8,0.71 @ Fordham,-0.61 (H) Northeastern,,,0.054,98
,,Missouri State,,MVC,0.067,17 - 15,12 - 8,10 - 4,7 - 11,0.80 @ Drake,-0.45 @ Illinois State,,,0.015,124
,,LSU,,SEC,0.065,14 - 19,2 - 16,10 - 8,4 - 11,0.70 (H) Arkansas,-0.42 (H) South Carolina,,,0.126,42
,,Eastern Kentucky,,ASUN,0.063,20 - 13,12 - 6,14 - 2,6 - 11,0.63 (H) Liberty,-0.63 (N) Tex. A&M-Commerce,,,-0.028,167
,,UNC-Asheville,,Big South,0.061,27 - 7,16 - 2,13 - 0,14 - 7,0.53 @ UCF,-0.52 @ Georgia State,,,-0.113,305
,,Cal State-Fullerton,,Big West,0.061,20 - 13,12 - 6,11 - 2,9 - 11,0.65 @ UC-Santa Barbara,-0.70 @ Cal State-Northridge,,,-0.029,169
,,Mississippi,,SEC,0.055,12 - 21,3 - 15,7 - 10,5 - 11,0.84 (H) Florida Atlantic,-0.41 (H) South Carolina,,,0.155,22
,,Montana State,,Big Sky,0.054,25 - 9,15 - 3,12 - 1,13 - 8,0.51 @ Southern Utah,-0.70 @ Idaho,,,-0.095,278
,,Penn,,Ivy,0.053,17 - 13,9 - 5,11 - 4,6 - 9,0.49 (H) Yale,-0.46 @ Dartmouth,,,-0.013,151
,,Colgate,,Patriot,0.052,26 - 8,17 - 1,14 - 2,12 - 6,0.46 @ Syracuse,-0.33 @ American,,,-0.134,332
,,Towson,,CAA,0.049,21 - 12,12 - 6,10 - 2,11 - 10,0.60 (H) Hofstra,-0.46 (N) Fairfield,,,-0.051,208
,,Indiana State,,MVC,0.049,22 - 12,13 - 7,11 - 4,11 - 8,0.68 (H) Drake,-0.61 (N) UMKC,,,-0.052,211
,,Hawaii,,Big West,0.046,22 - 11,13 - 7,13 - 5,9 - 6,0.50 @ UC-Riverside,-0.66 (H) Tex. A&M-Commerce,,,-0.082,257
,,Richmond,,Atlantic 10,0.046,15 - 18,7 - 11,12 - 4,3 - 14,0.77 (H) Drake,-0.43 @ William & Mary,,,0.038,107
,,Murray State,,MVC,0.043,17 - 15,11 - 9,11 - 2,6 - 13,0.75 (N) Texas A&M,-0.28 @ Bellarmine,,,0.005,133
,,Stephen F. Austin,,WAC,0.043,19 - 13,11 - 7,12 - 4,7 - 9,0.47 (H) Grand Canyon,-0.52 (H) Texas-Arlington,,,-0.046,197
,,Cornell,,Ivy,0.041,17 - 11,7 - 7,11 - 2,6 - 9,0.59 @ Colgate,-0.33 (H) Harvard,,,-0.049,203
,,South Alabama,,Sun Belt,0.041,19 - 16,9 - 9,10 - 4,9 - 12,0.65 (H) Southern Miss,-0.53 @ Georgia State,,,-0.003,141
,,Troy,,Sun Belt,0.041,20 - 13,11 - 7,11 - 3,9 - 10,0.62 (H) Louisiana,-0.50 (H) Mercer,,,-0.035,183
,,Northern Kentucky,,Horizon,0.04,22 - 12,14 - 6,14 - 3,8 - 9,0.53 (H) Cincinnati,-0.48 (H) Oakland,,,-0.085,261
,,Western Kentucky,,C-USA,0.039,17 - 16,8 - 12,9 - 5,8 - 11,0.76 @ UAB,-0.61 @ Louisville,,,0.019,120
,,Rice,,C-USA,0.035,18 - 15,8 - 12,11 - 7,7 - 8,0.86 @ North Texas,-0.56 (H) Texas-San Antonio,,,-0.01,149
,,Massachusetts,,Atlantic 10,0.035,15 - 16,6 - 12,8 - 6,7 - 10,0.59 (N) Hofstra,-0.56 (H) Loyola (Chicago),,,0.022,118
,,Stanford,,Pac-12,0.034,14 - 19,7 - 13,9 - 6,5 - 13,0.86 (H) Arizona,-0.72 @ California,,,0.094,75
,,South Dakota State,,Summit,0.034,19 - 13,13 - 5,10 - 2,9 - 11,0.84 @ Boise State,-0.33 (N) North Dakota State,,,-0.03,173
,,UNC-Greensboro,,SoCon,0.033,20 - 12,14 - 4,11 - 3,9 - 9,0.60 @ Furman,-0.50 @ North Carolina A&T,,,-0.073,241
,,UMass Lowell,,America East,0.032,26 - 8,11 - 5,17 - 0,9 - 8,0.55 (H) Vermont,-0.71 @ Albany,,,-0.143,341
,,Tarleton State,,WAC,0.032,17 - 16,8 - 9,11 - 2,6 - 14,0.59 (H) Utah Valley,-0.42 (H) Texas-Rio Grande Valley,,,-0.003,140
