,,,,,,,,,,,
TEAM,CONF,W-L,BPI,BPI RK,TREND,OFF,DEF,OVR W-L,CONF W-L,WIN CONF%,REM SOS RK
Missouri Tigers,SEC,12-21,0.8,158,--,-0.3,1,12.0-21.0,5.0-13.0,<0.1%,-
Yale Bulldogs,Ivy,19-12,0.7,159,--,-1.4,2.1,19.0-12.0,11.0-3.0,<0.1%,-
Gardner-Webb Runnin' Bulldogs,Big South,18-13,0.6,160,--,-2.5,3.1,18.0-13.0,11.0-5.0,<0.1%,-
Navy Midshipmen,Patriot,21-11,0.6,161,2,-3.8,4.4,21.0-11.0,12.0-6.0,<0.1%,-
Nevada Wolf Pack,Mountain West,13-18,0.6,162,2,1,-0.4,13.0-18.0,6.0-12.0,<0.1%,-
UNC Asheville Bulldogs,Big South,17-15,0.5,163,1,1,-0.4,17.0-15.0,8.0-8.0,<0.1%,-
Tulsa Golden Hurricane,American,11-20,0.5,164,3,0.8,-0.3,11.0-20.0,4.0-14.0,<0.1%,-
Appalachian State Mountaineers,Sun Belt,19-15,0.4,165,--,-1.2,1.6,19.0-15.0,12.0-6.0,<0.1%,-
Utah Valley Wolverines,WAC,20-12,0.2,166,--,-1.3,1.5,20.0-12.0,10.0-8.0,<0.1%,-
Niagara Purple Eagles,MAAC,14-16,0.2,167,2,-0.2,0.3,14.0-16.0,9.0-11.0,<0.1%,-
Montana State Bobcats,Big Sky,27-8,0.1,168,1,0.4,-0.3,27.0-8.0,16.0-4.0,>99.9%,-
Saint Joseph's Hawks,A 10,11-19,0.1,169,1,-1.2,1.3,11.0-19.0,5.0-13.0,<0.1%,-
Stephen F. Austin Lumberjacks,WAC,22-10,0,170,--,-1.6,1.6,22.0-10.0,14.0-4.0,>99.9%,-
Kansas City Roos,Summit,19-12,-0.1,171,--,-0.7,0.6,19.0-12.0,12.0-6.0,<0.1%,-
Bryant Bulldogs,NEC,22-10,-0.2,172,1,0.6,-0.7,22.0-10.0,16.0-2.0,>99.9%,-
Cleveland State Vikings,Horizon,20-11,-0.2,173,1,0.6,-0.8,20.0-11.0,15.0-6.0,>99.9%,-
East Carolina Pirates,American,15-15,-0.3,174,--,-0.4,0,15.0-15.0,6.0-11.0,<0.1%,-
UTEP Miners,C-USA,20-14,-0.3,175,1,-1,0.6,20.0-14.0,11.0-7.0,<0.1%,-
Cal State Fullerton Titans,Big West,21-11,-0.4,176,1,0.7,-1.1,21.0-11.0,11.0-4.0,<0.1%,-
Georgetown Hoyas,Big East,6-25,-0.4,177,2,1.2,-1.6,6.0-25.0,0.0-19.0,<0.1%,-
Texas Southern Tigers,SWAC,19-13,-0.4,178,2,-2.5,2.1,19.0-13.0,13.0-5.0,<0.1%,-
Northern Kentucky Norse,Horizon,20-12,-0.5,179,1,-0.4,-0.1,20.0-12.0,14.0-6.0,<0.1%,-
Bellarmine Knights,ASUN,20-13,-0.5,180,1,3.5,-4,20.0-13.0,11.0-5.0,<0.1%,-
UNC Wilmington Seahawks,CAA,27-9,-0.6,181,--,0.6,-1.2,27.0-9.0,15.0-3.0,>99.9%,-
