,,,,,,,
RK,TEAM,Q1A,Q1,Q2,Q1&2,Q3,Q4
272,Canisius,0-2,0-4,0-1,0-5,2-4,13-8
273,Mount St. Mary's,0-2,0-4,0-1,0-5,1-3,6-14
274,Northwestern St.,0-2,0-2,0-3,0-5,0-4,8-11
275,Sam Houston St.,0-1,0-1,0-4,0-5,2-4,16-2
276,UNC Asheville,0-3,0-3,0-2,0-5,0-10,2-11
277,Rider,0-2,0-2,0-3,0-5,1-2,15-8
278,Cal St. Northridge,0-1,0-2,0-3,0-5,2-7,10-8
279,Denver,0-2,0-3,0-2,0-5,0-7,7-10
280,Maryland Eastern Shore,0-2,0-3,0-2,0-5,0-5,5-15
281,Coastal Carolina,0-1,0-1,0-4,0-5,5-7,8-4
282,Towson,0-1,0-1,0-4,0-5,3-6,6-11
283,Lehigh,0-1,0-1,0-4,0-5,4-4,16-2
284,North Carolina A&T,0-2,0-3,0-2,0-5,0-2,17-6
285,Fort Wayne,0-0,0-2,0-3,0-5,3-5,12-5
286,South Alabama,0-1,0-1,0-4,0-5,4-6,11-6
287,New Orleans,0-1,0-1,0-4,0-5,2-2,13-6
288,Presbyterian,0-1,0-3,0-2,0-5,0-7,15-3
289,Jackson St.,0-0,0-1,0-4,0-5,0-7,11-7
290,Alcorn St.,0-1,0-2,0-3,0-5,0-5,6-11
291,Savannah St.,0-1,0-3,0-3,0-6,0-3,10-11
292,North Dakota St. 16,0-3,0-4,0-2,0-6,2-5,14-4
293,Elon,0-1,0-1,0-5,0-6,1-8,8-7
294,Arkansas St.,0-0,0-2,0-4,0-6,5-6,6-7
295,Oral Roberts,0-0,0-1,0-5,0-6,3-7,6-8
296,NJIT,0-1,0-4,0-2,0-6,7-1,13-5
297,Southern,0-4,0-5,0-1,0-6,1-4,5-15
298,Eastern Washington,0-0,0-4,0-2,0-6,2-5,13-7
299,Central Arkansas,0-1,0-2,0-4,0-6,2-3,9-10
300,Rice,0-1,0-1,0-5,0-6,4-8,7-5
RK,TEAM,Q1-A,Q1,Q2,Q1&2,Q3,Q4
301,SIU Edwardsville,0-0,0-2,0-4,0-6,1-5,7-10
302,Oakland,0-1,0-2,0-4,0-6,3-8,12-3
303,South Carolina St.,0-2,0-4,0-2,0-6,0-4,6-16
304,Evansville,0-0,0-2,0-4,0-6,5-9,4-6
305,Florida A&M,0-0,0-2,0-4,0-6,0-3,10-10
306,Georgia Southern,0-1,0-2,0-4,0-6,13-4,6-2
307,Navy,0-0,0-2,0-4,0-6,5-9,7-4
308,Hartford,0-3,0-4,0-2,0-6,3-3,14-6
309,Nebraska Omaha,0-1,0-5,0-1,0-6,4-1,16-4
310,William & Mary,0-1,0-1,0-5,0-6,3-8,10-3
311,Alabama St.,0-2,0-3,0-3,0-6,0-4,10-9
312,Binghamton,0-1,0-3,0-4,0-7,1-5,7-11
313,Southeast Missouri St.,0-1,0-3,0-4,0-7,0-6,8-8
314,Dartmouth,0-1,0-4,0-3,0-7,1-7,8-5
315,Seattle,0-1,0-2,0-5,0-7,3-4,13-3
316,Coppin St.,0-4,0-6,0-1,0-7,0-4,8-14
317,UC Davis,0-0,0-3,0-4,0-7,1-8,8-5
318,Little Rock,0-1,0-2,0-5,0-7,1-5,7-9
319,Maine,0-1,0-4,0-3,0-7,0-8,4-12
320,Mississippi Valley St.,0-2,0-3,0-4,0-7,0-5,5-14
321,Wyoming,0-1,0-3,0-4,0-7,2-10,5-7
322,Cal St. Bakersfield,0-2,0-3,0-4,0-7,4-6,9-2
323,Eastern Illinois,0-2,0-4,0-3,0-7,3-2,10-9
324,Appalachian St.,0-1,0-2,0-5,0-7,3-9,5-5
325,San Jose St.,0-3,0-4,0-3,0-7,0-10,3-10
326,Colorado St.,0-2,0-5,0-3,0-8,2-10,9-2
327,Portland,0-2,0-4,0-4,0-8,0-11,5-6
328,UTEP,0-2,0-2,0-6,0-8,0-7,6-6
